lsid,osmid_start,osmid_end
915865163,8507204938,4405959257
342461745,3494635744,4405959257
442973927,4406231764,4406231765
442973986,4406231872,4406231873
446422177,4436991120,4436991121
702194120,6594224497,4436991121
34960899,1345940044,4523363962
237895953,4573658234,4573658525
462875605,4582020692,4582020693
469791724,4640744819,4640744818
111774907,1799786552,4640745071
476892367,4703187073,4703187070
231391930,6862790037,4718833972
423222164,4727909980,4722643412
66833293,4841609644,4841609373
492590473,4845823583,4845823766
494856278,4866224504,4866224505
420876861,4890057345,4890057344
943159265,4888132878,4890057351
431907259,4908669935,4908669936
759748550,4909395272,4909395273
759748550,4909395382,4909395383
529002657,5139621758,5139685779
529002659,5139685780,5139685781
528999359,5139659031,5141325718
24257700,262636943,5141521663
529233409,5141521694,5141521663
34468935,397700563,5181361336
534211441,5181361340,5181361341
536070890,5193941241,5193940595
536070893,5193941252,5193940595
549015590,2109283963,5303507328
143299694,1930403625,5464153396
569945851,5480181324,5480181323
158175201,1704054791,5492111382
571461379,5492111381,5492111382
418606066,5506417338,5506417339
576794388,5531157948,5531157949
577861562,5538762932,5538762931
75803711,894787777,5566947431
581947606,5566947344,5566947431
185787965,8386345809,5618350333
592117133,5651898943,5651898368
595481994,5675407939,5675408552
563050499,5426787980,5692349478
603152325,5726793070,5726793071
614294844,5810997613,5810997612
168765532,5895926937,5895927370
624358289,5895926451,5895927370
632601557,5906827211,5906827212
70186981,838061504,5911117513
208064005,5968462602,5968463676
434808522,4327280878,5968463676
653115547,4009662399,6121166480
90431075,2965738428,6265871129
670724042,6281073043,6281073059
654247269,1280769925,6299200714
171514121,1825318166,6299200738
672903285,6301453363,6301453362
674674171,2175035370,6318426953
675603402,6326934080,6326934079
122193685,1663340173,6326934079
675768921,6328486140,6328486139
676092211,6331666222,6331666229
440004362,673003250,6331666229
679647487,6485205879,6364079001
679647486,6485205875,6364079001
685060764,6419043695,6419043699
685060764,6419043698,6419043699
130541450,4573637693,6465294020
816101630,7621890031,6482123595
6310470,33806249,6482123595
112724354,3264426338,6482341194
691173927,6485205948,6485205947
694445427,6520553970,6520553969
694702026,6524201877,6524201878
383992420,3872908221,6524287756
696130905,6536937774,6536937773
675767721,5633597113,6579725145
701517749,6588265108,6588265107
34961220,33781439,6590657833
38234055,6681659362,6681659361
717373991,6737109781,6737109780
476892367,4703188154,6761622528
720533961,6761909286,6761869476
443596019,6779257069,6779257106
724500150,6794576196,6794576198
724500152,6794576225,6794576224
37769218,6877520711,6877520709
734398206,4144328766,6880720754
365849022,6895410219,6895410200
738887035,6918427015,6918427016
749194620,7006102877,7006102878
759748550,4909395267,7172674580
768275340,7172875343,7172875344
768275349,7172875424,7172875425
82169980,956778212,7243624602
40938378,498642561,7621890036
826233297,5655525576,7671181493
65423970,7695738057,7695738058
824255380,7695738059,7695738058
828153440,7731340367,7731340349
828876033,7737508003,7737508001
674138046,7740711355,7740711362
830462272,7753546754,7753546755
944334717,7755891423,7755891330
830663983,7755891291,7755891330
839004457,817722519,7829500806
839967751,7838155713,7838155714
848951634,7920901114,7920901087
848951660,7920901206,7920901222
423388345,4230026880,8060440274
176921896,1982823809,8060440274
869058865,8100383811,8100383810
6312700,33781649,8146153238
168570493,8150652383,8150652374
565100626,264495382,8174339132
880567549,8743116502,8190373853
905765425,8743116540,8190373853
890087807,774087915,8273550767
891274091,8283998234,8283998233
891982393,8290314378,8290314377
892827191,1670667289,8298155461
892827193,8298155460,8298155461
896969196,8337552045,8337552044
814908583,7611972714,8337552044
907083729,8423084526,8423084527
143957432,4212954304,8435169459
53333868,674532285,8460409098
914957591,8499248720,8499248719
925261641,8587061963,8587061964
927299255,8603640813,8603640812
488484004,4467059510,8603640812
923078102,8568924071,8637863461
931734808,8637863460,8637863461
935013032,8664692003,8664692004
938424335,8693877372,8693877373
927708446,8606726784,8706869184
6312505,270683585,8719124747
943159263,8733249379,8733249378
943159264,8733249387,8733249386
943159265,8733249424,8733249423
943562564,8736460307,8736460306
944664147,8745735473,8745735500
1008137483,8745735498,8745735500
531817600,8850291030,8850291031
421631104,8919327668,8919327662
978734248,9056123250,9056123251
978754412,9056337516,9056343717
978828115,9057006377,9057006378
978828115,9057006387,9057114018
844842444,4430404414,9057275032
978828120,9057275031,9057275032
674683672,9062333917,9062329316
996834745,9204423732,9204423731
1005398012,9276128987,9276128988
6313659,25471122,25471104
675647347,6328578589,26608055
6310369,849061210,29588735
6314165,790905110,30084578
201101700,4296996056,33780885
6312197,2126161342,33781077
34951938,2126161341,33781077
6312885,2203156150,33781579
24490063,498677770,33781579
166652914,28378168,33781646
6312938,33781645,33781646
23411141,4087718783,33781669
406139606,4087718784,33781669
6309523,33806151,33806159
157993903,8521204025,262629293
130707774,7621890191,262632369
65204862,264267313,264267315
112770049,807074173,264867490
24911707,3964492541,270682203
25152715,5233492414,274117585
295386084,2990907022,274118922
25152830,274119154,274119155
141491514,1548667884,304960617
592130632,507035136,370058385
34244744,304962450,392724600
34373928,394815193,394815190
34387674,473126544,394815190
34935023,406514993,406514994
6313644,33806241,409958106
131633517,1353210481,409958106
35201175,392945051,412734409
