lsid,highway
724500155,tertiary
724500156,tertiary
724500157,tertiary
724500158,tertiary
724500159,tertiary
724500160,tertiary
724500161,tertiary
724500162,tertiary
724500163,service
724500164,footway
724500165,footway
724500166,footway
724500167,footway
724500168,footway
724500169,footway
724500171,footway
724500172,footway
724500173,footway
724500174,footway
724500176,tertiary
724500177,tertiary
724500178,footway
724500179,motorway
725416576,service
725416577,service
753536995,motorway_link
753537011,residential
753537012,residential
753537013,motorway_link
753537014,motorway_link
753537022,primary
753537028,primary
753537029,primary
753537036,footway
753537037,service
754342654,residential
754344786,residential
754344787,tertiary
754837621,path
754837622,cycleway
754837623,footway
754837624,footway
754837625,footway
754837626,service
754837629,steps
754837630,footway
754837631,footway
754837632,steps
754837633,footway
754837634,steps
754837635,footway
754837636,steps
754837637,footway
754837638,steps
754837639,steps
754837640,footway
754837641,footway
754837642,steps
754837643,footway
754837644,steps
754837645,footway
754837646,footway
754837647,footway
754837648,footway
754837649,footway
754837650,footway
754837651,footway
754837652,service
754837653,service
754837654,service
754837655,service
754837656,service
754837660,cycleway
754837663,service
754837664,service
754837667,footway
754837668,steps
754837669,footway
754837670,steps
754837671,footway
754837672,steps
754837673,footway
754837674,tertiary
754837675,tertiary
754837676,tertiary
754837677,tertiary
754837678,residential
754837679,residential
755234716,secondary
755234717,residential
755234718,secondary
755314038,motorway
755314043,motorway
755314045,motorway_link
755314046,motorway
755314049,motorway_link
755314050,motorway
755314051,motorway_link
755314052,motorway_link
755314053,motorway_link
755314054,motorway_link
755314055,trunk
755314056,trunk
755314057,trunk
755326544,motorway
755326545,motorway
755326546,motorway
755326547,motorway
755326548,motorway
755326549,motorway
755326558,footway
755326559,footway
755326560,motorway
755326561,motorway
755326562,motorway
755326563,motorway
755326566,service
755326567,service
755326574,motorway
755489133,service
755489134,service
756122832,path
756122833,path
756122834,path
756124768,service
756124769,residential
756124770,service
756125171,service
756128784,service
756368810,footway
756368811,service
756368812,service
756569006,service
757262517,residential
757262518,residential
891274082,service
891274083,service
891274084,residential
891274085,service
891274086,residential
891274087,service
891274088,service
891274089,service
891274091,service
891274092,residential
891274093,service
891274094,unclassified
891274095,unclassified
891274096,service
891274097,service
891431916,service
891431917,service
891431918,service
891435352,service
891435353,service
891435354,service
891435355,service
891435356,service
891435357,service
891435358,service
891435359,service
891435360,service
891435361,service
891435362,service
891435363,service
891435364,service
891435365,pedestrian
891435366,footway
891435367,footway
891435368,pedestrian
891588198,tertiary
891588199,tertiary
891591368,service
891591369,tertiary
891591370,tertiary
891982390,secondary
891982391,footway
891982392,footway
891982393,footway
892365859,service
892365860,service
892365861,service
892365862,service
892365863,service
892365864,service
892365865,service
892365866,service
892365867,footway
892822154,footway
892822155,footway
892822156,footway
892822157,footway
892822158,footway
892822159,footway
892822160,footway
892822161,footway
892822162,footway
892822163,footway
892822164,footway
892822165,footway
892822166,footway
892822167,footway
892822168,footway
892822169,footway
892822170,footway
892822174,footway
892822175,footway
892822176,footway
892822177,footway
892827171,footway
892827172,footway
892827173,footway
892827174,footway
892827175,footway
892827176,footway
892827177,footway
892827178,footway
892827179,footway
892827180,footway
892827181,footway
892827182,footway
892827183,footway
892827184,footway
892827185,footway
892827186,footway
892827187,footway
892827188,footway
892827189,footway
892827190,cycleway
892827191,pedestrian
892827192,footway
892827193,footway
892827194,footway
893546053,service
893607992,pedestrian
894304310,footway
282269273,service
282269274,service
282269278,service
282749445,footway
282749446,steps
282749447,footway
283070724,service
283803186,footway
283803187,footway
283803188,steps
283803189,footway
283803190,steps
283803193,steps
283803194,footway
283803195,footway
283803196,residential
283807694,residential
283807695,steps
283807696,footway
283807697,service
283807698,footway
283807699,service
283807700,service
283807701,steps
283807702,footway
274621134,tertiary
274621147,steps
274621149,service
274621155,service
30057704,footway
30281188,residential
30281491,residential
30281494,residential
30281497,residential
30281504,residential
30281509,residential
30281515,residential
30281526,residential
30281533,residential
30281551,residential
30281561,residential
30791129,residential
30791130,residential
30791181,residential
30797403,residential
30797432,residential
30797452,residential
30802554,tertiary
30802614,residential
30980443,service
31112429,unclassified
89267719,secondary
89406335,service
89406336,service
89406337,service
89406338,service
89406339,service
89406340,service
89406341,service
89406342,service
89406343,service
89406344,service
89406345,service
89406346,service
89406347,service
89406348,service
89406349,service
89406350,service
89406351,service
89419612,service
89419613,service
89419614,service
89419615,service
89419616,service
89419617,service
89419619,service
89419620,service
89419621,footway
89419622,service
89419623,service
89419627,service
89419629,service
89419637,service
89419638,service
89419639,service
89419640,service
89419641,service
89426535,service
89426536,service
89426537,service
89426539,footway
89426540,service
89426541,service
89426542,service
89426543,service
89426544,service
89426545,service
89427976,residential
89971510,service
89971519,service
89971522,service
89971534,service
89971538,service
89971548,service
89971551,service
89971552,service
89971553,service
90431062,tertiary
90431071,unclassified
90431075,tertiary
90431081,residential
90687642,cycleway
90687644,unclassified
90687646,footway
90687647,footway
90687648,cycleway
85428512,pedestrian
85443995,pedestrian
85536111,residential
85817464,residential
85817465,service
85817468,residential
85817469,cycleway
85820895,service
85820896,service
85835504,service
85835506,service
85835512,service
85943600,residential
605692952,tertiary
605692953,tertiary
605692954,tertiary
605692955,tertiary
605692956,tertiary
605692958,tertiary
605692959,tertiary
605692961,tertiary
605692964,tertiary
605692965,tertiary
605983842,secondary
606701329,footway
607797118,pedestrian
607798433,service
607880862,footway
609504144,residential
609504145,residential
609506182,residential
609506183,residential
609530740,tertiary
609531246,tertiary
519695174,pedestrian
523957377,footway
194292658,primary
194293402,primary
194432744,service
194432745,service
194432746,service
194432747,service
194445571,residential
194445572,residential
194445575,residential
194445576,service
194445577,residential
194445578,unclassified
194469427,tertiary
194469428,tertiary
194469429,residential
194469430,residential
194469432,pedestrian
194469433,residential
194469434,footway
194469435,service
194474568,secondary
194606025,residential
194606026,residential
194606027,footway
194606028,service
228197582,tertiary
228197583,tertiary
228197584,primary
228197585,service
228197594,service
228197595,service
228197596,service
228197597,service
228197598,service
228197599,service
228197600,service
228197601,service
228197602,service
228197603,service
228197604,service
228197605,service
228197606,service
228197607,service
228197608,service
228197609,service
228197610,service
228197611,service
228197612,service
228197613,service
228197614,service
228197615,service
228197616,unclassified
228197618,service
228197619,service
228197620,service
228197621,service
228197622,service
228197623,service
228197624,service
228197625,service
228212470,service
228212471,service
228234347,footway
228234348,service
228234349,steps
228234350,steps
228234351,footway
228234352,footway
228234353,path
228234354,footway
228234355,service
228234356,pedestrian
228234357,footway
228234358,service
228234359,footway
228234360,footway
228235335,footway
228257915,service
228257916,service
228257917,service
228257918,service
228267232,pedestrian
228267233,steps
228267244,steps
228267247,service
228270343,residential
228270345,residential
228270348,service
228270350,residential
228270354,service
228270356,residential
228270360,service
228274484,service
228287084,footway
228287085,footway
228294963,footway
228294965,footway
228294966,footway
228294967,footway
228294969,footway
228294970,footway
228294971,footway
228294972,footway
228294973,footway
228294974,footway
228294975,footway
228294976,footway
228294977,footway
228294978,footway
228294979,footway
228294980,footway
228294981,footway
228294982,footway
228294983,footway
228294984,footway
228294985,footway
228294986,footway
228294987,footway
228294988,footway
228294993,footway
228294994,footway
228298218,footway
228298219,footway
228298220,steps
228298221,steps
228298223,footway
228299986,footway
228370287,service
228370288,footway
228370289,service
228370290,service
228370291,service
228370292,service
228826045,footway
228826046,footway
228826047,footway
228826048,footway
228826049,steps
228826051,footway
228826054,footway
228826055,footway
228826056,steps
228826057,steps
228826058,footway
228942254,footway
228942255,steps
228942256,footway
228942257,steps
228942259,footway
228942260,footway
229291538,service
229291539,service
229457476,footway
229457477,footway
229653342,service
229653343,service
229779556,service
229779557,primary_link
229779558,residential
229967033,service
229967034,service
229967035,service
229967036,service
229967037,service
663777837,tertiary
663777838,residential
664422033,residential
664422034,tertiary
364380443,service
364380448,footway
364380452,service
364380457,steps
364380460,steps
364380463,service
364381199,footway
364381200,footway
364381204,footway
364381208,footway
364381216,footway
364381222,footway
364381226,footway
364381228,footway
364381230,footway
364381231,service
364381232,footway
364381233,footway
364381234,footway
364381235,footway
364381236,service
